,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,Cherskiy,76,RU,1553725451,77,68.75,161.3,4.56,9.17
117,Buala,64,SB,1553725452,93,-8.15,159.59,81.69,3.47
118,Litovko,76,RU,1553725452,69,49.24,135.18,18.42,2.13
119,Inhambane,64,MZ,1553725452,88,-23.87,35.38,77.46,10.96
120,Nayoro,80,JP,1553725452,74,44.36,142.46,26.16,5.26
121,Pontianak,76,ID,1553725453,97,-0.02,109.34,78.72,3.47
122,Aswan,0,EG,1553720400,19,24.09,32.9,68.0,5.82
123,Omsukchan,44,RU,1553725454,74,62.53,155.8,0.87,9.73
124,Isangel,75,VU,1553724000,70,-19.55,169.27,84.2,11.41
125,Katsuura,75,JP,1553724272,54,33.93,134.5,61.0,1.12
126,Necochea,0,AR,1553724705,53,-38.55,-58.74,66.0,3.0
127,Cacapava,75,BR,1553724000,73,-23.1,-45.71,78.8,8.05
128,Batsfjord,0,NO,1553723400,98,70.63,29.72,35.6,26.4
129,Ribeira Grande,40,PT,1553720400,76,38.52,-28.7,57.2,4.7
130,Atambua,92,ID,1553725455,100,-9.11,124.89,76.2,5.14
131,The Valley,40,AI,1553725026,69,18.22,-63.06,80.6,11.41
132,Kishtwar,88,IN,1553725456,81,33.31,75.77,36.69,2.13
133,Cabo San Lucas,40,MX,1553725220,28,22.89,-109.91,88.0,4.7
134,Salalah,0,OM,1553723400,73,17.01,54.1,77.0,1.12
135,Sistranda,75,NO,1553725386,81,63.73,8.83,44.6,9.17
136,Butaritari,36,KI,1553725457,98,3.07,172.79,84.57,19.57
137,Margate,0,AU,1553725334,71,-43.03,147.26,61.0,13.87
138,Superior,1,US,1553725176,14,39.95,-105.17,75.2,8.95
139,Minsk,0,BY,1553724000,85,53.9,27.56,24.8,3.13
140,Saint-Pierre,0,FR,1553725325,75,48.95,4.24,44.6,11.41
141,Pedernales,76,EC,1553725459,80,0.07,-80.05,78.99,10.63
142,Baherden,48,TM,1553725460,100,38.44,57.43,45.06,3.58
143,Singaraja,24,ID,1553725460,100,-8.11,115.08,68.1,1.12
144,Cidreira,92,BR,1553725460,76,-30.17,-50.22,70.35,13.42
145,Souillac,0,FR,1553725449,57,45.6,-0.6,50.0,9.17
146,Sarrebourg,0,FR,1553725337,69,48.73,7.05,48.2,6.93
147,Vila Velha,75,BR,1553725298,83,-3.71,-38.6,81.0,3.36
148,George,20,NG,1553720400,83,6.63,3.35,84.2,5.82
149,Deputatskiy,0,RU,1553725462,34,69.3,139.9,-24.61,2.68
150,Tuatapere,68,NZ,1553725207,81,-46.13,167.69,55.99,1.01
151,Arraial do Cabo,20,BR,1553724000,65,-22.97,-42.02,80.6,10.29
152,Lavrentiya,80,RU,1553725463,96,65.58,-170.99,32.37,25.84
153,Bathsheba,40,BB,1553724000,69,13.22,-59.52,80.6,16.11
154,Sinop,24,TR,1553725463,97,42.03,35.15,46.77,16.67
155,Port Elizabeth,1,US,1553725432,45,39.31,-74.98,48.99,8.05
156,Tiksi,64,RU,1553725464,68,71.64,128.87,-5.35,3.36
157,Klaksvik,92,FO,1553723400,93,62.23,-6.59,44.6,14.99
158,Adrar,0,DZ,1553720400,37,27.87,-0.29,71.6,6.93
159,Luderitz,0,NA,1553725465,87,-26.65,15.16,62.52,11.52
160,Villa Bruzual,0,VE,1553725465,36,9.33,-69.12,94.29,3.91
161,Faanui,64,PF,1553725465,99,-16.48,-151.75,85.02,3.91
162,Boende,68,CD,1553725466,91,-0.28,20.88,74.13,3.36
163,Mumford,32,GH,1553725466,79,5.26,-0.76,81.87,7.72
164,Coquimbo,75,CL,1553724000,82,-29.95,-71.34,59.0,9.17
165,Mount Gambier,12,AU,1553722200,100,-37.83,140.78,44.6,6.93
166,Marsaxlokk,75,MT,1553725210,100,35.84,14.54,51.8,4.7
167,Kruisfontein,0,ZA,1553725467,72,-34.0,24.73,62.7,11.3
168,Ostrovnoy,88,RU,1553725467,88,68.05,39.51,24.36,22.82
169,Comodoro Rivadavia,0,AR,1553724000,30,-45.87,-67.48,82.4,4.7
170,Mackay,75,CA,1553720400,58,53.65,-115.58,41.0,2.24
171,Kodiak,90,US,1553725435,18,39.95,-94.76,70.0,14.99
172,Popondetta,56,PG,1553725468,91,-8.77,148.24,69.54,1.9
173,Hay River,75,CA,1553720400,55,60.82,-115.79,39.2,4.7
174,Roebourne,0,AU,1553725469,87,-20.77,117.15,65.76,3.13
175,Barrow,0,AR,1553725469,41,-38.31,-60.23,70.08,11.18
176,Nukus,40,UZ,1553722200,93,42.46,59.61,46.4,9.17
177,Seoul,90,KR,1553724600,87,37.57,126.98,44.6,1.12
178,Lyantonde,56,UG,1553725470,92,-0.41,31.15,63.33,2.13
179,Gisborne,92,NZ,1553725210,98,-38.66,178.02,62.01,5.01
180,Saldanha,0,PT,1553725470,29,41.42,-6.55,53.97,12.19
181,Vardo,1,US,1553725286,20,39.62,-77.74,53.6,11.41
182,Shirokiy,0,RU,1553725471,86,53.87,39.17,20.04,4.25
183,Vila do Maio,40,CV,1553720400,68,15.13,-23.22,69.8,14.99
184,Houma,64,CN,1553725420,60,35.63,111.36,43.89,2.35
185,Pionerskiy,0,RU,1553725471,91,61.2,62.86,25.08,2.68
186,Najran,5,SA,1553724000,44,17.54,44.22,77.0,4.7
187,Palmer,90,US,1553725413,52,61.6,-149.11,48.2,2.91
188,Kavaratti,0,IN,1553725472,100,10.57,72.64,83.67,10.51
189,Ranfurly,0,CA,1553725472,98,53.41,-111.68,33.36,9.73
190,Lasa,20,CY,1553722200,87,34.92,32.53,59.0,6.93
191,Bastia,0,IT,1553725447,34,44.6,8.98,53.6,2.24
192,Mahibadhoo,32,MV,1553725474,100,3.78,72.97,83.94,7.94
193,Vila Franca do Campo,20,PT,1553725464,71,37.72,-25.43,57.2,12.75
194,Hami,64,CN,1553725474,47,42.84,93.51,39.93,11.63
195,Sorland,75,NO,1553719800,93,67.67,12.69,39.2,10.29
196,Batticaloa,80,LK,1553725475,100,7.71,81.69,77.55,3.69
197,Aklavik,90,CA,1553720640,86,68.22,-135.01,33.8,14.99
198,Champerico,40,MX,1553723280,27,16.38,-93.6,89.6,27.51
199,Uruacu,56,BR,1553725476,88,-14.52,-49.14,76.02,2.91
200,Carlos Chagas,64,BR,1553725476,50,-17.7,-40.76,84.3,8.72
201,Komsomolskiy,80,RU,1553725476,88,67.55,63.78,23.55,14.76
202,Loa Janan,44,ID,1553725477,98,-0.58,117.09,75.66,2.13
203,Provideniya,90,RU,1553724000,86,64.42,-173.23,30.2,15.66
204,Namanga,12,KE,1553725477,76,-2.55,36.79,63.87,7.94
205,Canyon,1,US,1553725208,41,34.98,-101.92,80.01,23.04
206,Victoria,75,BN,1553722200,94,5.28,115.24,78.8,2.68
207,Borujerd,36,IR,1553724000,65,33.89,48.76,41.0,8.05
208,Linkuva,90,LT,1553723400,100,56.09,23.97,33.8,3.36
209,Zhezkazgan,92,KZ,1553725479,85,47.8,67.71,43.8,17.11
210,Nieuw Amsterdam,20,SR,1553725231,62,5.88,-55.08,86.0,9.17
211,Ipixuna,75,BR,1553724000,88,-1.76,-48.8,78.8,6.93
212,Whithorn,40,JM,1553724923,69,18.26,-78.04,82.99,11.41
213,Batagay-Alyta,0,RU,1553725480,28,67.8,130.41,-21.28,2.91
214,Yeniseysk,0,RU,1553725480,78,58.45,92.17,15.9,4.59
215,Nizhniy Ingash,0,RU,1553725481,71,56.2,96.53,14.19,3.69
216,Ivdel,12,RU,1553725481,71,60.7,60.42,20.85,3.24
217,Tigil,0,RU,1553725481,77,57.8,158.67,6.72,3.47
218,Lagoa,0,PT,1553725334,72,37.14,-8.45,59.0,11.41
219,Kaka,0,TM,1553725482,78,37.35,59.62,43.8,4.03
220,Gotsu,76,JP,1553725482,79,35.01,132.22,54.42,12.08
221,Nchelenge,24,ZM,1553725482,99,-9.35,28.74,67.56,2.24
222,Iwanai,80,JP,1553725483,100,42.97,140.51,32.37,15.88
223,Yar-Sale,36,RU,1553725483,77,66.83,70.83,16.17,8.84
224,Luancheng,0,CN,1553720400,52,37.88,114.65,41.0,6.71
225,Pangnirtung,20,CA,1553720400,84,66.15,-65.72,-0.41,2.24
226,Ponta do Sol,56,BR,1553725484,52,-20.63,-46.0,80.52,2.91
227,Tigzirt,0,DZ,1553725425,80,36.57,4.2,52.0,4.0
228,Kalmunai,32,LK,1553725285,98,7.42,81.82,72.51,2.24
229,Braila,0,IT,1553725480,56,45.95,10.93,50.0,5.82
230,Palm Beach,75,AU,1553725457,68,-33.6,151.32,71.01,6.93
231,Mareeba,40,AU,1553725399,83,-16.99,145.42,82.99,4.7
232,Charagua,75,BO,1553724000,88,-19.79,-63.2,64.4,10.4
233,El Alto,75,BO,1553724000,87,-16.5,-68.19,46.4,9.17
234,Hofn,32,IS,1553725486,99,64.25,-15.21,39.21,28.86
235,Sorong,0,ID,1553725486,100,-0.86,131.25,81.87,5.59
236,Turayf,0,SA,1553724000,87,31.68,38.65,46.4,6.93
237,Dalvik,0,SE,1553725204,93,57.79,14.13,37.99,3.36
238,Portland,90,US,1553725447,62,45.52,-122.67,52.0,17.22
239,Thinadhoo,56,MV,1553725487,100,0.53,72.93,81.78,4.92
240,Meulaboh,88,ID,1553725488,100,4.14,96.13,80.7,2.46
241,Tabas,0,IR,1553724000,54,33.6,56.92,59.0,4.7
242,Manokwari,64,ID,1553725488,99,-0.87,134.08,81.42,9.51
243,Gayeri,0,BF,1553725489,36,12.65,0.49,79.62,3.91
244,Port Hawkesbury,1,CA,1553725437,36,45.62,-61.36,28.99,9.17
245,Worthington,1,US,1553725408,59,43.62,-95.6,66.99,14.99
246,Christchurch,64,NZ,1553725386,82,-43.53,172.64,63.0,8.05
247,Kostomuksha,36,RU,1553725490,87,64.59,30.6,29.13,6.71
248,Walvis Bay,56,NA,1553724130,77,-22.95,14.51,62.6,4.7
249,Herzogenburg,0,AT,1553725445,70,48.28,15.69,45.0,9.17
250,Victor Harbor,0,AU,1553725449,61,-35.55,138.62,68.0,1.01
251,Zeerust,20,ZA,1553724000,64,-25.54,26.07,71.6,12.75
252,Saint George,90,GR,1553725412,81,39.45,22.34,53.01,6.93
253,Ust-Ilimsk,76,RU,1553725491,83,57.96,102.73,20.58,2.46
254,Kefar Shemaryahu,20,IL,1553725466,87,32.19,34.82,60.8,6.93
255,Katherine,0,AU,1553722200,94,-14.47,132.26,71.6,8.16
256,Betong,0,MY,1553725255,94,5.77,101.07,70.26,2.57
257,Wangqing,0,CN,1553725492,46,43.31,129.76,15.27,4.7
258,Saint-Augustin,0,FR,1553725449,53,44.83,-0.61,51.8,9.17
259,Nanakuli,1,US,1553725390,65,21.39,-158.15,80.01,8.05
260,Westport,75,IE,1553725325,87,53.8,-9.52,50.0,3.36
261,Marsabit,48,KE,1553725493,84,2.34,37.99,74.04,3.36
262,Savannah Bight,0,HN,1553725494,91,16.45,-85.85,81.87,12.75
263,Nalut,92,LY,1553725494,75,31.86,10.98,58.74,8.95
264,Grand-Lahou,20,CI,1553725494,73,5.24,-5.0,82.14,6.15
265,Chuy,0,UY,1553725494,80,-33.69,-53.46,67.47,10.63
266,Mendi,48,ET,1553725495,39,9.8,35.1,64.32,4.92
267,Coromandel,92,NZ,1553725382,82,-36.76,175.5,68.0,5.82
268,Fare,88,PF,1553725495,96,-16.7,-151.02,84.75,1.57
269,Port Hardy,20,CA,1553720400,76,50.7,-127.42,48.2,3.36
270,Nagapattinam,0,IN,1553725301,79,10.76,79.84,76.47,8.39
271,Smithers,20,CA,1553720400,39,54.78,-127.17,50.0,2.57
272,Sur,0,OM,1553725496,90,22.57,59.53,75.12,3.24
273,Quelimane,20,MZ,1553724000,83,-17.88,36.89,78.8,6.93
274,Sola,90,NO,1553725460,100,58.89,5.65,44.6,2.24
275,Sabang,48,PH,1553725497,93,13.72,123.58,77.82,7.94
276,Turtas,88,RU,1553725497,92,58.94,69.13,32.37,4.81
277,Papara,75,BR,1553725298,83,-3.98,-38.73,81.0,3.36
278,Lompoc,40,US,1553725211,82,34.64,-120.46,66.0,5.82
279,Inongo,8,CD,1553725498,88,-1.93,18.29,78.99,2.57
280,Gold Coast,90,AU,1553725401,94,-28.0,153.41,73.99,8.05
281,Nador,68,MA,1553722200,67,35.17,-2.93,59.0,12.75
282,Bay Roberts,20,CA,1553725008,52,47.58,-53.28,21.99,10.29
283,La Ronge,75,CA,1553721660,69,55.1,-105.3,33.8,12.75
284,Vestmanna,92,FO,1553723400,93,62.16,-7.17,44.6,14.99
285,Ballina,75,IE,1553725325,87,54.11,-9.15,48.99,3.36
286,Dourados,64,BR,1553725500,56,-22.22,-54.81,86.01,6.6
287,Hovd,75,NO,1553725467,93,63.83,10.7,45.0,16.11
288,Swellendam,0,ZA,1553724000,82,-34.02,20.44,66.2,3.36
289,Haines Junction,0,CA,1553725501,45,60.75,-137.51,38.85,2.68
290,Redondela,0,ES,1553725445,33,42.28,-8.61,62.01,3.36
291,San Patricio,24,PY,1553725502,59,-26.98,-56.83,74.85,6.26
292,Husavik,36,CA,1553725230,78,50.56,-96.99,41.0,4.0
293,Pelym,0,RU,1553725502,80,61.01,62.0,22.02,2.35
294,Tomigusuku,20,JP,1553725347,73,26.18,127.67,71.6,16.11
295,Acajutla,0,SV,1553725216,44,13.59,-89.83,84.0,8.01
296,Gat,0,SN,1553724000,77,14.69,-16.54,68.0,16.11
297,The Pas,90,CA,1553720400,69,53.82,-101.24,35.6,16.11
298,East London,0,ZA,1553725503,97,-33.02,27.91,75.66,20.13
299,Vallenar,0,CL,1553725504,64,-28.58,-70.76,71.43,2.91
300,Buluang,20,PH,1553724000,88,10.47,123.98,75.2,3.36
301,Ornskoldsvik,0,SE,1553723400,68,63.29,18.72,30.2,3.36
302,Tautira,75,PF,1553725343,66,-17.73,-149.15,87.8,9.17
303,Icatu,75,BR,1553724000,94,-2.77,-44.05,78.8,6.93
304,Sangar,0,RU,1553725505,67,63.92,127.47,-9.94,1.45
305,Malesici,75,BA,1553724000,49,44.74,18.27,46.4,5.82
306,Mocuba,92,MZ,1553725506,87,-16.84,36.99,75.75,5.14
307,Esperance,20,TT,1553725207,78,10.24,-61.45,81.0,11.41
308,Byron Bay,90,AU,1553724947,94,-28.65,153.62,70.0,8.05
309,LaBelle,40,US,1553725504,46,26.76,-81.44,77.0,13.87
310,Gawler,0,AU,1553725506,71,-34.6,138.75,68.0,13.87
311,Altamira,40,BR,1553720400,74,-3.2,-52.21,84.2,3.36
312,Juegang,44,CN,1553725281,79,32.31,121.18,60.01,14.65
313,Storsteinnes,75,NO,1553723400,59,69.24,19.23,37.4,27.51
314,Hurricane,1,US,1553725230,19,37.18,-113.29,71.01,5.82
315,Nha Trang,20,VN,1553722200,83,12.24,109.19,78.8,3.36
316,Sisophon,8,KH,1553725509,93,13.59,102.97,75.12,5.59
317,Okha,36,RU,1553725509,84,53.59,142.95,10.77,9.62
318,Glodeanu-Silistea,0,RO,1553725504,48,44.83,26.8,43.0,9.17
319,Kuantan,75,MY,1553720400,88,3.82,103.33,78.8,4.14
320,Nioro,0,GM,1553725510,53,13.79,-15.05,82.59,4.03
321,Along,12,IN,1553725510,96,28.17,94.8,49.47,1.68
322,Nuuk,75,GL,1553723400,67,64.17,-51.74,17.6,11.41
323,Sao Filipe,0,CV,1553725511,99,14.9,-24.5,69.9,12.41
324,Mildura,20,AU,1553724942,66,-34.18,142.16,61.0,3.36
325,Mogadishu,32,SO,1553725392,96,2.04,45.34,83.4,15.99
326,Phuket,20,TH,1553722200,83,7.89,98.4,78.8,10.85
327,Manaia,0,NZ,1553725398,70,-39.55,174.12,69.01,1.99
328,Boa Vista,20,BR,1553724000,34,2.82,-60.67,95.0,10.29
329,Neuquen,0,AR,1553724000,47,-38.95,-68.06,75.2,12.75
330,Bandarbeyla,0,SO,1553725513,100,9.49,50.81,79.17,1.12
331,Liuhe,0,CN,1553725514,85,42.28,125.73,16.62,2.13
332,Buzovna,20,AZ,1553724000,93,40.52,50.11,37.4,8.84
333,Curup,64,ID,1553725514,95,-3.47,102.53,71.43,0.89
334,Tazmalt,20,DZ,1553725425,87,36.39,4.4,52.0,5.82
335,Huntington,1,US,1553725466,47,40.87,-73.43,43.0,10.29
336,Ialibu,100,PG,1553725515,97,-6.28,143.99,55.68,0.89
337,Saint Anthony,1,US,1553725221,25,43.97,-111.68,61.0,12.75
338,Awbari,56,LY,1553725516,35,26.59,12.77,77.01,10.74
339,Dunda,12,IN,1553725516,70,30.62,78.32,46.23,2.57
340,Flinders,0,AU,1553725506,93,-34.58,150.85,70.0,5.82
341,Naze,40,NG,1553720400,88,5.43,7.07,82.4,5.37
342,Wladyslawowo,75,PL,1553725459,93,54.79,18.4,44.01,9.17
343,Amga,0,RU,1553725517,69,60.89,131.98,-6.07,2.57
344,Novyy Urengoy,44,RU,1553725517,83,66.08,76.63,27.42,14.09
345,Grindavik,75,IS,1553724883,80,63.84,-22.43,33.01,31.09
346,Awjilah,64,LY,1553725518,34,29.14,21.3,66.21,10.07
347,Kanniyakumari,0,IN,1553725518,99,8.08,77.57,84.12,10.63
348,Liepaja,90,LV,1553723400,100,56.52,21.02,37.4,4.14
349,Raudeberg,92,NO,1553725503,93,61.99,5.14,46.99,18.34
350,Matara,68,PE,1553725519,62,-13.74,-72.9,56.58,2.46
351,Rumphi,20,MW,1553725519,92,-11.02,33.86,62.16,3.13
352,Poum,76,MK,1553725520,73,41.28,20.71,35.61,1.68
353,Destin,1,US,1553725353,28,30.39,-86.5,75.0,8.05
354,Maymyo,68,MM,1553725520,86,22.03,96.47,60.54,1.79
355,Barcelos,0,PT,1553725476,81,41.53,-8.62,60.01,2.24
356,Fortuna,0,ES,1553725521,66,38.18,-1.13,57.2,4.7
357,Anchorage,75,US,1553725413,52,61.22,-149.89,48.2,4.7
358,Oussouye,0,SN,1553720400,83,12.49,-16.54,75.2,6.93
359,Viesca,75,MX,1553724910,27,25.34,-102.81,86.0,4.7
360,Hirna,64,ET,1553725522,93,9.22,41.1,59.1,3.02
361,Kahului,20,US,1553725476,48,20.89,-156.47,82.4,12.75
362,Lazaro Cardenas,90,MX,1553725508,16,28.39,-105.62,87.8,14.99
363,Tarko-Sale,80,RU,1553725488,85,64.92,77.78,30.99,5.01
364,Mayahi,0,NE,1553725523,23,13.95,7.67,78.54,9.28
365,Bafoulabe,0,ML,1553725523,44,13.81,-10.83,85.2,4.25
366,Ust-Nera,12,RU,1553725523,47,64.57,143.24,-18.58,2.01
367,Hervey Bay,90,AU,1553724918,100,-25.3,152.85,73.0,12.75
368,Wenshang,36,CN,1553725524,41,35.72,116.48,48.66,11.41
369,Pisco,75,PE,1553724000,30,-13.71,-76.2,71.6,13.87
370,Antalaha,44,MG,1553725524,100,-14.9,50.28,76.92,4.03
371,Labuhan,80,ID,1553725525,93,-2.54,115.51,74.4,1.79
372,Ramgarh,0,IN,1553725525,53,28.17,74.98,67.65,3.24
373,Kaitangata,12,NZ,1553725468,61,-46.28,169.85,60.01,4.0
374,Cascais,0,PT,1553725503,31,38.7,-9.42,64.99,5.82
